player_key,name,gender,issue,detail
men:sackmann:210745,Matthias Ujvary,men,match_count_sum_mismatch,"sum(surface_matches)=111, matches=112"
men:sackmann:210745,Matthias Ujvary,men,match_count_sum_mismatch,"sum(level_surface_matches)=111, matches=112"
men:sackmann:210749,Andrea M'Chich,men,match_count_sum_mismatch,"sum(surface_matches)=9, matches=10"
men:sackmann:210749,Andrea M'Chich,men,match_count_sum_mismatch,"sum(level_surface_matches)=9, matches=10"
men:sackmann:211330,Vasco Leote Prata,men,match_count_sum_mismatch,"sum(surface_matches)=15, matches=16"
men:sackmann:211330,Vasco Leote Prata,men,match_count_sum_mismatch,"sum(level_surface_matches)=15, matches=16"
men:sackmann:211334,Aljaz Jeran,men,match_count_sum_mismatch,"sum(surface_matches)=53, matches=54"
men:sackmann:211334,Aljaz Jeran,men,match_count_sum_mismatch,"sum(level_surface_matches)=53, matches=54"
men:sackmann:211457,Sven Corbinais,men,match_count_sum_mismatch,"sum(surface_matches)=24, matches=25"
men:sackmann:211457,Sven Corbinais,men,match_count_sum_mismatch,"sum(level_surface_matches)=24, matches=25"
men:sackmann:211566,Patrick Schoen,men,match_count_sum_mismatch,"sum(surface_matches)=91, matches=92"
men:sackmann:211566,Patrick Schoen,men,match_count_sum_mismatch,"sum(level_surface_matches)=91, matches=92"
men:sackmann:211646,Louis Larue,men,match_count_sum_mismatch,"sum(surface_matches)=50, matches=51"
men:sackmann:211646,Louis Larue,men,match_count_sum_mismatch,"sum(level_surface_matches)=50, matches=51"
men:sackmann:212029,Dimitris Sakellaridis,men,match_count_sum_mismatch,"sum(surface_matches)=161, matches=162"
men:sackmann:212029,Dimitris Sakellaridis,men,match_count_sum_mismatch,"sum(level_surface_matches)=161, matches=162"
men:sackmann:212059,Zach Stephens,men,match_count_sum_mismatch,"sum(surface_matches)=43, matches=44"
men:sackmann:212059,Zach Stephens,men,match_count_sum_mismatch,"sum(level_surface_matches)=43, matches=44"
men:sackmann:212075,Rodrigo Fernandes,men,match_count_sum_mismatch,"sum(surface_matches)=44, matches=45"
men:sackmann:212075,Rodrigo Fernandes,men,match_count_sum_mismatch,"sum(level_surface_matches)=44, matches=45"
men:sackmann:212104,Pablo Martinez Gomez,men,match_count_sum_mismatch,"sum(surface_matches)=46, matches=47"
men:sackmann:212104,Pablo Martinez Gomez,men,match_count_sum_mismatch,"sum(level_surface_matches)=46, matches=47"
men:sackmann:212109,Antonio Voljavec,men,match_count_sum_mismatch,"sum(surface_matches)=31, matches=32"
men:sackmann:212109,Antonio Voljavec,men,match_count_sum_mismatch,"sum(level_surface_matches)=31, matches=32"
men:sackmann:212110,Mathis Bondaz,men,match_count_sum_mismatch,"sum(surface_matches)=14, matches=15"
men:sackmann:212110,Mathis Bondaz,men,match_count_sum_mismatch,"sum(level_surface_matches)=14, matches=15"
men:sackmann:212138,Nazar Oliynykov,men,match_count_sum_mismatch,"sum(surface_matches)=10, matches=11"
men:sackmann:212138,Nazar Oliynykov,men,match_count_sum_mismatch,"sum(level_surface_matches)=10, matches=11"
men:sackmann:212171,Nicolas Jadoun,men,match_count_sum_mismatch,"sum(surface_matches)=103, matches=104"
men:sackmann:212171,Nicolas Jadoun,men,match_count_sum_mismatch,"sum(level_surface_matches)=103, matches=104"
men:sackmann:212258,Adhithya Ganesan,men,match_count_sum_mismatch,"sum(surface_matches)=109, matches=110"
men:sackmann:212258,Adhithya Ganesan,men,match_count_sum_mismatch,"sum(level_surface_matches)=109, matches=110"
men:sackmann:212259,Benjamin Thomas George,men,match_count_sum_mismatch,"sum(surface_matches)=97, matches=98"
men:sackmann:212259,Benjamin Thomas George,men,match_count_sum_mismatch,"sum(level_surface_matches)=97, matches=98"
men:sackmann:212275,Thijs Boogaard,men,match_count_sum_mismatch,"sum(surface_matches)=36, matches=37"
men:sackmann:212275,Thijs Boogaard,men,match_count_sum_mismatch,"sum(level_surface_matches)=36, matches=37"
men:sackmann:212285,Albert Pedrico Kravtsov,men,match_count_sum_mismatch,"sum(surface_matches)=76, matches=77"
men:sackmann:212285,Albert Pedrico Kravtsov,men,match_count_sum_mismatch,"sum(level_surface_matches)=76, matches=77"
men:sackmann:212286,Rodrigo Alujas ,men,match_count_sum_mismatch,"sum(surface_matches)=85, matches=86"
men:sackmann:212286,Rodrigo Alujas ,men,match_count_sum_mismatch,"sum(level_surface_matches)=85, matches=86"
men:sackmann:212552,Nicolas Ifi,men,match_count_sum_mismatch,"sum(surface_matches)=81, matches=82"
men:sackmann:212552,Nicolas Ifi,men,match_count_sum_mismatch,"sum(level_surface_matches)=81, matches=82"
men:sackmann:212750,Clement Lemire,men,match_count_sum_mismatch,"sum(surface_matches)=10, matches=11"
men:sackmann:212750,Clement Lemire,men,match_count_sum_mismatch,"sum(level_surface_matches)=10, matches=11"
men:sackmann:212769,Leo Lagarrigue,men,match_count_sum_mismatch,"sum(surface_matches)=33, matches=34"
men:sackmann:212769,Leo Lagarrigue,men,match_count_sum_mismatch,"sum(level_surface_matches)=33, matches=34"
men:sackmann:212919,Ivan Biletic,men,match_count_sum_mismatch,"sum(surface_matches)=18, matches=19"
men:sackmann:212919,Ivan Biletic,men,match_count_sum_mismatch,"sum(level_surface_matches)=18, matches=19"
men:sackmann:212947,Joao Dinis Silva,men,match_count_sum_mismatch,"sum(surface_matches)=19, matches=20"
men:sackmann:212947,Joao Dinis Silva,men,match_count_sum_mismatch,"sum(level_surface_matches)=19, matches=20"
men:sackmann:212950,Vid Mohar,men,match_count_sum_mismatch,"sum(surface_matches)=10, matches=11"
men:sackmann:212950,Vid Mohar,men,match_count_sum_mismatch,"sum(level_surface_matches)=10, matches=11"
men:sackmann:212969,Matisse Bobichon,men,match_count_sum_mismatch,"sum(surface_matches)=67, matches=68"
men:sackmann:212969,Matisse Bobichon,men,match_count_sum_mismatch,"sum(level_surface_matches)=67, matches=68"
men:sackmann:213001,Mika Petkovic,men,match_count_sum_mismatch,"sum(surface_matches)=101, matches=102"
men:sackmann:213001,Mika Petkovic,men,match_count_sum_mismatch,"sum(level_surface_matches)=101, matches=102"
men:sackmann:213002,Matteo Vavassori,men,match_count_sum_mismatch,"sum(surface_matches)=3, matches=4"
men:sackmann:213002,Matteo Vavassori,men,match_count_sum_mismatch,"sum(level_surface_matches)=3, matches=4"
men:sackmann:213004,Arthur Bellegy,men,match_count_sum_mismatch,"sum(surface_matches)=20, matches=21"
men:sackmann:213004,Arthur Bellegy,men,match_count_sum_mismatch,"sum(level_surface_matches)=20, matches=21"
men:sackmann:213098,Hugo Car,men,match_count_sum_mismatch,"sum(surface_matches)=16, matches=17"
men:sackmann:213098,Hugo Car,men,match_count_sum_mismatch,"sum(level_surface_matches)=16, matches=17"
