model,min_level_matches,min_surface_matches,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
surface_only,10,10,124221,0.628114,0.22484,0.640154,0.547512,0.621429
surface_only,10,20,91929,0.622741,0.226671,0.644046,0.545991,0.622534
surface_only,10,30,69947,0.617753,0.228023,0.646823,0.544258,0.6214
surface_only,10,50,41385,0.612952,0.230025,0.651162,0.541359,0.618782
surface_only,20,0,110572,0.62609,0.225358,0.641242,0.546676,0.620063
surface_only,20,3,107967,0.626432,0.225239,0.640981,0.547074,0.621199
surface_only,20,5,106078,0.626416,0.225208,0.640899,0.54723,0.621673
surface_only,20,10,100297,0.62643,0.225162,0.640794,0.547497,0.622411
surface_only,20,20,83744,0.626015,0.225423,0.641335,0.547369,0.622871
surface_only,20,30,64051,0.62049,0.226988,0.64459,0.54544,0.62178
surface_only,20,50,38081,0.614663,0.229262,0.649488,0.542189,0.61891
surface_only,30,0,84920,0.625224,0.225437,0.641377,0.547058,0.621659
surface_only,30,3,83495,0.625247,0.225392,0.641267,0.547286,0.622407
surface_only,30,5,82416,0.62534,0.225364,0.64119,0.547388,0.622686
surface_only,30,10,79164,0.625436,0.225349,0.641159,0.547501,0.62302
surface_only,30,20,70299,0.625471,0.225391,0.641218,0.547394,0.622839
surface_only,30,30,58413,0.623799,0.225819,0.642038,0.546755,0.622157
surface_only,30,50,35025,0.616988,0.228492,0.647821,0.543052,0.619146
surface_only,50,0,50532,0.62598,0.225805,0.642256,0.547338,0.623643
surface_only,50,3,49946,0.625596,0.225883,0.642417,0.547377,0.624134
surface_only,50,5,49499,0.625366,0.225875,0.642374,0.547431,0.624313
surface_only,50,10,48238,0.625171,0.225904,0.642439,0.547421,0.62444
surface_only,50,20,44855,0.625393,0.225916,0.642439,0.547202,0.623872
surface_only,50,30,40589,0.624874,0.225945,0.642402,0.546811,0.622765
surface_only,50,50,29168,0.623869,0.226518,0.643649,0.545632,0.620965
