risk_level,gender,name_norm,display_name,player_key,match_count,country,birth_year,hand,height,recommended_canonical_key,all_player_keys,all_match_counts,all_countries,all_birth_years
MEDIUM,women,meta marenk,Meta Marenk,women:sackmann:223445,0,SLO,2003,U,,women:sackmann:266677,women:sackmann:223445 | women:sackmann:266677,women:sackmann:223445=0 | women:sackmann:266677=0,SLO,2003
MEDIUM,women,meta marenk,Meta Marenk,women:sackmann:266677,0,SLO,,U,,women:sackmann:266677,women:sackmann:223445 | women:sackmann:266677,women:sackmann:223445=0 | women:sackmann:266677=0,SLO,2003
MEDIUM,women,mia e halli obeid,Mia E'Halli Obeid,women:sackmann:260725,0,ARG,,U,,women:sackmann:267478,women:sackmann:260725 | women:sackmann:267478,women:sackmann:260725=0 | women:sackmann:267478=0,ARG,
MEDIUM,women,mia e halli obeid,Mia E'Halli Obeid,women:sackmann:267478,0,ARG,,U,,women:sackmann:267478,women:sackmann:260725 | women:sackmann:267478,women:sackmann:260725=0 | women:sackmann:267478=0,ARG,
MEDIUM,women,miah webb,Miah Webb,women:sackmann:242451,0,USA,1998,U,,women:sackmann:265715,women:sackmann:242451 | women:sackmann:265715,women:sackmann:242451=0 | women:sackmann:265715=0,USA,1998
MEDIUM,women,miah webb,Miah Webb,women:sackmann:265715,0,USA,,U,,women:sackmann:265715,women:sackmann:242451 | women:sackmann:265715,women:sackmann:242451=0 | women:sackmann:265715=0,USA,1998
MEDIUM,women,misato kondo,Misato Kondo,women:sackmann:265667,0,JPN,,U,,women:sackmann:269927,women:sackmann:265667 | women:sackmann:269927,women:sackmann:265667=0 | women:sackmann:269927=0,JPN,
MEDIUM,women,misato kondo,Misato Kondo,women:sackmann:269927,0,JPN,,U,,women:sackmann:269927,women:sackmann:265667 | women:sackmann:269927,women:sackmann:265667=0 | women:sackmann:269927=0,JPN,
MEDIUM,women,mischka sinclaire goenadi,Mischka Sinclaire Goenadi,women:sackmann:263739,0,INA,,U,,women:sackmann:270366,women:sackmann:263739 | women:sackmann:270366,women:sackmann:263739=0 | women:sackmann:270366=0,INA,2008
MEDIUM,women,mischka sinclaire goenadi,Mischka Sinclaire Goenadi,women:sackmann:270366,0,INA,2008,U,,women:sackmann:270366,women:sackmann:263739 | women:sackmann:270366,women:sackmann:263739=0 | women:sackmann:270366=0,INA,2008
MEDIUM,women,na hyun kang,Na Hyun Kang,women:sackmann:222180,0,KOR,2004,U,,women:sackmann:267418,women:sackmann:222180 | women:sackmann:267418,women:sackmann:222180=0 | women:sackmann:267418=0,KOR,2004
MEDIUM,women,na hyun kang,Na Hyun Kang,women:sackmann:267418,0,KOR,,U,,women:sackmann:267418,women:sackmann:222180 | women:sackmann:267418,women:sackmann:222180=0 | women:sackmann:267418=0,KOR,2004
MEDIUM,women,nana kawagishi,Nana Kawagishi,women:sackmann:221771,0,JPN,2000,U,,women:sackmann:244078,women:sackmann:221771 | women:sackmann:244078,women:sackmann:221771=0 | women:sackmann:244078=0,JPN,2000
MEDIUM,women,nana kawagishi,Nana Kawagishi,women:sackmann:244078,0,JPN,2000,U,,women:sackmann:244078,women:sackmann:221771 | women:sackmann:244078,women:sackmann:221771=0 | women:sackmann:244078=0,JPN,2000
MEDIUM,women,natalia pietras,Natalia Pietras,women:sackmann:220526,0,POL,2000,U,,women:sackmann:266552,women:sackmann:220526 | women:sackmann:266552,women:sackmann:220526=0 | women:sackmann:266552=0,POL,2000
