priority_rank,priority,api_player_key,api_player_id,api_name,gender,mapping_status,api_source_match_count,example_index,date,tournament,level,surface,round,result_side,opponent_key,opponent_name,opponent_mapped,score,api_event_key,source_file,candidate_action,candidate_count,top_candidates,search_query_hint
1,high_level,men:api:902,902,J. Mensik,men,ambiguous,5,3,2026-05-31,French Open,grand_slam,clay,ATP French Open - 1/8-finals,winner,men:api:2847,A. Rublev,no,3 - 2,12132121,2026-05-31.json,manual_review,2,men:sackmann:210150 | Jakub Mensik | score=0.975 | manual_review ; men:sackmann:210084 | Jakub Mensik | score=0.975 | candidate,J. Mensik A. Rublev French Open 2026-05-31 3 - 2
1,high_level,men:api:95164,95164,O. Majdandzic,men,unmapped,4,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/16-finals,loser,men:api:78983,T. Behrmann,no,0 - 2,12132560,2026-06-01.json,weak_candidate,1,men:sackmann:212269 | Marc Majdandzic | score=0.746667 | weak_candidate,O. Majdandzic T. Behrmann French Open 2026-06-01 0 - 2
1,high_level,men:api:95164,95164,O. Majdandzic,men,unmapped,4,2,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,winner,men:api:89241,T. Konduri,no,0 - 2,12132175,2026-05-31.json,weak_candidate,1,men:sackmann:212269 | Marc Majdandzic | score=0.746667 | weak_candidate,O. Majdandzic T. Konduri French Open 2026-05-31 0 - 2
1,high_level,men:api:95164,95164,O. Majdandzic,men,unmapped,4,3,2026-05-29,French Open,grand_slam,clay,Boys French Open - Final,winner,men:api:75886,O. Ogunsakin,no,2 - 0,12131985,2026-05-29.json,weak_candidate,1,men:sackmann:212269 | Marc Majdandzic | score=0.746667 | weak_candidate,O. Majdandzic O. Ogunsakin French Open 2026-05-29 2 - 0
1,high_level,men:api:95212,95212,K. Watanabe,men,unmapped,2,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/16-finals,loser,men:api:86725,M. Antonius,no,2 - 0,12132456,2026-06-01.json,weak_candidate,1,men:sackmann:208874 | Seita Watanabe | score=0.7 | weak_candidate,K. Watanabe M. Antonius French Open 2026-06-01 2 - 0
1,high_level,men:api:95212,95212,K. Watanabe,men,unmapped,2,2,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,winner,men:api:70745,R. Lawlor,no,1 - 2,12132193,2026-05-31.json,weak_candidate,1,men:sackmann:208874 | Seita Watanabe | score=0.7 | weak_candidate,K. Watanabe R. Lawlor French Open 2026-05-31 1 - 2
1,high_level,women:api:102993,102993,E. Dotsenko,women,unmapped,6,1,2026-06-04,French Open,grand_slam,clay,Girls French Open - Quarter-finals,loser,women:api:78480,A. Oktiabreva,no,0 - 2,12133499,2026-06-04.json,no_candidate,1,,E. Dotsenko A. Oktiabreva French Open 2026-06-04 0 - 2
1,high_level,women:api:102993,102993,E. Dotsenko,women,unmapped,6,2,2026-06-03,French Open,grand_slam,clay,Girls French Open - 1/8-finals,winner,women:api:70149,M. Thamm,no,2 - 0,12133093,2026-06-03.json,no_candidate,1,,E. Dotsenko M. Thamm French Open 2026-06-03 2 - 0
1,high_level,women:api:102993,102993,E. Dotsenko,women,unmapped,6,3,2026-06-02,French Open,grand_slam,clay,Girls French Open - 1/16-finals,winner,women:api:69063,G. S. Popa,no,2 - 0,12132513,2026-06-02.json,no_candidate,1,,E. Dotsenko G. S. Popa French Open 2026-06-02 2 - 0
1,high_level,women:api:102994,102994,M. V. Pop,women,unmapped,2,1,2026-05-29,French Open,grand_slam,clay,Girls French Open - Final,loser,women:api:54661,S. Ye,no,1 - 2,12131883,2026-05-29.json,no_candidate,1,,M. V. Pop S. Ye French Open 2026-05-29 1 - 2
