api_player_key,raw_api_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
men:api:10508,10508,P. A. Saraiva Dos Santos,men,unmapped,1,S. De La Fuente,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
men:api:20066,20066,P. A. Tailleu,men,missing_mapping_entry,1,M. Petkovic,M15 Bourg-En-Bresse (France),Itf Men Singles,,,,,,
men:api:85025,85025,P. Bayo,men,missing_mapping_entry,1,Pa. Tsitsipas,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
women:api:58613,58613,P. Dore,women,missing_mapping_entry,1,S. Sakellaridi,W75 Blois,Itf Women Singles,,,,,,
women:api:15718,15718,P. Drame,women,missing_mapping_entry,1,N. Mladenovic,W15 Kursumlijska Banja 5,Itf Women Singles,,,,,,
women:api:104053,104053,P. Franco,women,missing_mapping_entry,1,A. J. Lopez Ocampos,W15 Luque,Itf Women Singles,,,,,,
women:api:40793,40793,P. Kuharenko,women,missing_mapping_entry,1,V. Chaudhari,W35 Mohammedia,Itf Women Singles,,,,,,
men:api:61071,61071,Pa. Tsitsipas,men,missing_mapping_entry,1,P. Bayo,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
men:api:104063,104063,R. Cruz,men,missing_mapping_entry,1,O. A. Martinez De Freitas,M25 Lourinha (Portugal),Itf Men Singles,,,,,,
men:api:672,672,R. Giotis,men,missing_mapping_entry,1,R. Lebron Puerta,M15 Kayseri 5,Itf Men Singles,,,,,,
men:api:94805,94805,R. Lebron Puerta,men,missing_mapping_entry,1,R. Giotis,M15 Kayseri 5,Itf Men Singles,,,,,,
women:api:76314,76314,R. Longueville,women,missing_mapping_entry,1,V. Bosio,W35 Bolszewo (Poland),Itf Women Singles,,,,,,
men:api:39199,39199,R. Quan,men,missing_mapping_entry,1,E. van Loben Sels,"M15 Irvine, CA",Itf Men Singles,,,,,,
women:api:103891,103891,R. T. Le,women,missing_mapping_entry,1,L. Thomas Iglesias,W15 Dinard,Itf Women Singles,,,,,,
women:api:90543,90543,R. X. Wu,women,missing_mapping_entry,1,C. Gallardo Guevara,W35+H Tauste,Itf Women Singles,,,,,,
women:api:38154,38154,S. Bojica,women,missing_mapping_entry,1,T. Kovacevic,W15 Bucharest 2,Itf Women Singles,,,,,,
women:api:228,228,S. Cakarevic,women,missing_mapping_entry,1,A. Granwehr,W75 Blois,Itf Women Singles,,,,,,
men:api:29714,29714,S. D'Agostino,men,unmapped,1,F. Bax,M25 Milano (Italy),Itf Men Singles,men:sackmann:208806,Stefano Dagostino,0.779044,,fuzzy,"{""men:api:29714"": ""men:sackmann:208806""}"
