api_player_key,api_name,gender,mapping_status,priority,impact_total_matches,impact_atp_wta,impact_grand_slam,impact_challenger,impact_itf,impact_qualifying,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,suggested_action,suggested_override_json
men:api:1872,Pe. Tsitsipas,men,ambiguous,low,,,,,,,2,men:sackmann:202065,Petros Tsitsipas,58,0.975,,exact_initial_form,candidate,
men:api:1926,A. Popyrin,men,ambiguous,low,,,,,,,1,men:sackmann:200615,Alexei Popyrin,182,0.975,0.0,exact_initial_form,manual_review,
men:api:1926,A. Popyrin,men,ambiguous,low,,,,,,,2,men:sackmann:202270,Anthony Popyrin,3,0.975,,exact_initial_form,candidate,
men:api:2188,A. Huertas Del Pino Cordova,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:22255,D. Azoidis,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:23191,K. Suzuki,men,ambiguous,low,,,,,,,1,men:sackmann:120545,Ko Suzuki,34,0.975,0.0,exact_initial_form,manual_review,
men:api:23191,K. Suzuki,men,ambiguous,low,,,,,,,2,men:sackmann:213787,Katsutoshi Suzuki,1,0.975,,exact_initial_form,candidate,
men:api:23302,L. F. Miguel,men,ambiguous,low,,,,,,,1,men:sackmann:213036,Luis Guto Miguel,25,0.975,0.0,exact_initial_form,manual_review,
men:api:23302,L. F. Miguel,men,ambiguous,low,,,,,,,2,men:sackmann:210323,Luis Felipe Miguel,17,0.975,,multi_initial_surname,candidate,
men:api:2408,J. Reis Da Silva,men,ambiguous,low,,,,,,,1,men:sackmann:206307,Joao Lucas Reis Da Silva,222,0.975,0.0,exact_initial_form,manual_review,
men:api:2408,J. Reis Da Silva,men,ambiguous,low,,,,,,,2,men:sackmann:212947,Joao Dinis Silva,18,0.975,,exact_initial_form,candidate,
men:api:2408,J. Reis Da Silva,men,ambiguous,low,,,,,,,3,men:sackmann:133197,Joao Silva,6,0.975,,exact_initial_form,candidate,
men:api:24403,J. Borba,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:2481,A. Ayeni,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:2516,J. Nicod,men,ambiguous,low,,,,,,,1,men:sackmann:210556,Jakub Nicod,146,0.975,0.0,exact_initial_form,manual_review,
men:api:2516,J. Nicod,men,ambiguous,low,,,,,,,2,men:sackmann:210083,Jakub Nicod,20,0.975,,exact_initial_form,candidate,
men:api:25278,D. C. Spiridon,men,ambiguous,low,,,,,,,1,men:sackmann:212591,Denis Constantin Spiridon,45,0.975,0.0,multi_initial_surname,manual_review,
men:api:25278,D. C. Spiridon,men,ambiguous,low,,,,,,,2,men:sackmann:211505,Denis Constantin Spiridon,12,0.975,,multi_initial_surname,candidate,
men:api:2838,B. Nakashima,men,ambiguous,low,,,,,,,1,men:sackmann:206909,Brandon Nakashima,232,0.975,0.0,exact_initial_form,manual_review,
men:api:2838,B. Nakashima,men,ambiguous,low,,,,,,,2,men:sackmann:210416,Bryce Nakashima,26,0.975,,exact_initial_form,candidate,
men:api:2851,S. Johnson,men,ambiguous,low,,,,,,,1,men:sackmann:105449,Steve Johnson,45,0.975,0.0,exact_initial_form,manual_review,
men:api:2851,S. Johnson,men,ambiguous,low,,,,,,,2,men:sackmann:212958,Spencer Johnson,36,0.975,,exact_initial_form,candidate,
men:api:2851,S. Johnson,men,ambiguous,low,,,,,,,3,men:sackmann:123854,Luke Johnson,3,0.708571,,same_last,candidate,
men:api:28671,D. Fornaci,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:29714,S. D'Agostino,men,unmapped,low,,,,,,,1,men:sackmann:208806,Stefano Dagostino,100,0.975,0.975,exact_initial_form,safe_override,"{""men:api:29714"": ""men:sackmann:208806""}"
men:api:30842,A. Duda,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:31252,A. F. Alhogbani,men,ambiguous,low,,,,,,,1,men:sackmann:212249,Ammar Faleh Alhogbani,47,0.975,0.0,multi_initial_surname,manual_review,
men:api:31252,A. F. Alhogbani,men,ambiguous,low,,,,,,,2,men:sackmann:211653,Anmar Faleh Alhogbani,3,0.975,,multi_initial_surname,candidate,
men:api:31252,A. F. Alhogbani,men,ambiguous,low,,,,,,,3,men:sackmann:210128,Saud Alhogbani,6,0.746667,,same_last,candidate,
men:api:3132,D. Kim,men,ambiguous,low,,,,,,,1,men:sackmann:207456,Dong Ju Kim,46,0.975,0.0,exact_initial_form,manual_review,
men:api:3132,D. Kim,men,ambiguous,low,,,,,,,2,men:sackmann:212974,Dongmin Kim,3,0.975,,exact_initial_form,candidate,
men:api:3132,D. Kim,men,ambiguous,low,,,,,,,3,men:sackmann:212613,Diego Quispe Kim,2,0.975,,exact_initial_form,candidate,
men:api:3132,D. Kim,men,ambiguous,low,,,,,,,4,men:sackmann:214605,Dongjae Kim,1,0.975,,exact_initial_form,candidate,
men:api:3132,D. Kim,men,ambiguous,low,,,,,,,5,men:sackmann:211556,Dae Han Kim,1,0.975,,exact_initial_form,candidate,
men:api:3135,H. Chung,men,ambiguous,low,,,,,,,1,men:sackmann:111202,Hyeon Chung,105,0.975,0.0,exact_initial_form,manual_review,
men:api:3135,H. Chung,men,ambiguous,low,,,,,,,2,men:sackmann:106184,Hong Chung,9,0.975,,exact_initial_form,candidate,
men:api:32066,Y. Jeong,men,ambiguous,low,,,,,,,1,men:sackmann:202155,Yeongseok Jeong,56,0.975,0.0,exact_initial_form,manual_review,
men:api:32066,Y. Jeong,men,ambiguous,low,,,,,,,2,men:sackmann:212232,Yeonsu Jeong,17,0.975,,exact_initial_form,candidate,
men:api:37909,D. Petrovic,men,ambiguous,low,,,,,,,1,men:sackmann:210204,Drazen Petrovic,29,0.975,0.0,exact_initial_form,manual_review,
men:api:37909,D. Petrovic,men,ambiguous,low,,,,,,,2,men:sackmann:213186,David Petrovic,11,0.975,,exact_initial_form,candidate,
men:api:37909,D. Petrovic,men,ambiguous,low,,,,,,,3,men:sackmann:209954,Luka Petrovic,5,0.723478,,same_last,candidate,
men:api:37909,D. Petrovic,men,ambiguous,low,,,,,,,4,men:sackmann:209914,Andreja Petrovic,46,0.713846,,same_last,candidate,
men:api:38120,S. Popovic,men,ambiguous,low,,,,,,,1,men:sackmann:209251,Stefan Popovic,233,0.975,0.0,exact_initial_form,manual_review,
men:api:38120,S. Popovic,men,ambiguous,low,,,,,,,2,men:sackmann:209877,Stevan Popovic,16,0.975,,exact_initial_form,candidate,
men:api:38273,W. K. Leong M.,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:38292,Y. Jeong,men,ambiguous,low,,,,,,,1,men:sackmann:202155,Yeongseok Jeong,56,0.975,0.0,exact_initial_form,manual_review,
men:api:38292,Y. Jeong,men,ambiguous,low,,,,,,,2,men:sackmann:212232,Yeonsu Jeong,17,0.975,,exact_initial_form,candidate,
men:api:38832,J. Aguilar Cardozo,men,ambiguous,low,,,,,,,1,men:sackmann:212051,Joaquin Aguilar Cardozo,114,0.975,0.0,exact_initial_form,manual_review,
men:api:38832,J. Aguilar Cardozo,men,ambiguous,low,,,,,,,2,men:sackmann:149099,Joaquin Aguilar Cardozo,9,0.975,,exact_initial_form,candidate,
men:api:38832,J. Aguilar Cardozo,men,ambiguous,low,,,,,,,3,men:sackmann:212481,Federico Aguilar Cardozo,51,0.721951,,same_last,candidate,
men:api:39003,V. Dell'Elba,men,unmapped,low,,,,,,,1,men:sackmann:202217,Vito Dellelba,32,0.975,0.975,exact_initial_form,safe_override,"{""men:api:39003"": ""men:sackmann:202217""}"
men:api:40127,Sun Qian,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:40129,O. Poulsen Brostrom,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:40212,D. Salazar,men,unmapped,low,,,,,,,1,men:sackmann:208365,Amador Salazar,41,0.723478,0.723478,same_last,weak_candidate,
men:api:4102,S. Nam Ji,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:50705,H. S. Callejon,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:53004,Oh Chan-Yeong,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:53732,A. Blus,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:54471,M. Mikovic,men,ambiguous,low,,,,,,,1,men:sackmann:212951,Mak Mikovic,17,0.975,0.0,exact_initial_form,manual_review,
men:api:54471,M. Mikovic,men,ambiguous,low,,,,,,,2,men:sackmann:212278,Milos Mikovic,14,0.975,,exact_initial_form,candidate,
men:api:54471,M. Mikovic,men,ambiguous,low,,,,,,,3,men:sackmann:212119,Nik Mikovic,36,0.736,,same_last,candidate,
men:api:55113,K. K. Lee,men,ambiguous,low,,,,,,,1,men:sackmann:134120,Kuan Yi Lee,103,0.975,0.0,exact_initial_form,manual_review,
men:api:55113,K. K. Lee,men,ambiguous,low,,,,,,,2,men:sackmann:212293,Karl Kazuma Lee,21,0.975,,multi_initial_surname,candidate,
men:api:55858,D. Dedura,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:567,E. Nava,men,ambiguous,low,,,,,,,1,men:sackmann:207182,Emilio Nava,260,0.975,0.0,exact_initial_form,manual_review,
men:api:567,E. Nava,men,ambiguous,low,,,,,,,2,men:sackmann:124013,Eduardo Nava,4,0.975,,exact_initial_form,candidate,
men:api:56741,X. Yang,men,ambiguous,low,,,,,,,1,men:sackmann:212466,Xiaoyin Yang,24,0.975,0.0,exact_initial_form,manual_review,
men:api:56741,X. Yang,men,ambiguous,low,,,,,,,2,men:sackmann:149162,Xiaoyin Yang,1,0.975,,exact_initial_form,candidate,
men:api:5720,X. Zhou,men,ambiguous,low,,,,,,,1,men:sackmann:207724,Xian Yao Zhou,4,0.975,0.0,exact_initial_form,manual_review,
men:api:5720,X. Zhou,men,ambiguous,low,,,,,,,2,men:sackmann:214277,Xiao Feng Zhou,1,0.975,,exact_initial_form,candidate,
men:api:5720,X. Zhou,men,ambiguous,low,,,,,,,3,men:sackmann:212044,Yi Zhou,158,0.713846,,same_last,candidate,
men:api:57378,Y. C. Chen,men,ambiguous,low,,,,,,,1,men:sackmann:212460,Yan Cheng Chen,30,0.975,0.0,multi_initial_surname,manual_review,
