api_player_key,api_raw_player_key,api_name,gender,mapping_status,issue,reason,today_match_count,opponents_today,event_names,event_type_types,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,candidate_sources,first_seen_date,last_seen_date,example_tournament,suggested_action,suggested_override_json
men:api:77249,,Garcia Carbajal Alejandro,men,missing_mapping_entry,,no_sackmann_candidate,1,Sergi Perez Contri,M25 Bakio,Itf Men Singles,1,men:sackmann:202307,Alejandro Garcia,100,0.965,0.965,subset_reordered_name,source_manifest:25;source_sackmann_jsonl:25;canonical_jsonl:25;raw_sackmann_csv:25,2023-06-19,20260216,M25 Bakio,review_likely,"{""men:api:77249"": ""men:sackmann:202307""}"
women:api:1807,,Georgiana Serban Raluca,women,unmapped,,no_sackmann_candidate,1,Victoria Bosio,W50 Gdansk (Poland),Itf Women Singles,,,,,,,,,,,,no_candidate,
women:api:31159,,H. Shi,women,missing_mapping_entry,,no_sackmann_candidate,1,Vaishnavi Adkar,W50 Palma del Rio,Itf Women Singles,1,women:sackmann:222559,Han Shi,766,0.975,0.975,exact_initial_form_raw,source_manifest:192;source_sackmann_jsonl:192;raw_sackmann_csv:192;canonical_jsonl:190,2023-02-13,20260601,W15 Monastir,safe_override,"{""women:api:31159"": ""women:sackmann:222559""}"
men:api:1337,,Hazem Naw,men,missing_mapping_entry,,no_sackmann_candidate,1,Adrian Oetzbach,M15 Kamen,Itf Men Singles,1,men:sackmann:208518,Hazem Naw,672,1.0,1.0,exact_normalized_raw,source_manifest:168;source_sackmann_jsonl:168;canonical_jsonl:168;raw_sackmann_csv:168,2023-01-23,20260323,M15 Kish Island,safe_override,"{""men:api:1337"": ""men:sackmann:208518""}"
women:api:22590,,Helena Bueno,women,missing_mapping_entry,,no_sackmann_candidate,1,C. Delmas Schaerer,W15 Asuncion,Itf Women Singles,1,women:sackmann:252487,Helena Bueno,212,1.0,1.0,exact_normalized_raw,source_manifest:53;source_sackmann_jsonl:53;canonical_jsonl:53;raw_sackmann_csv:53,2023-01-09,20251117,W15 Trelew,safe_override,"{""women:api:22590"": ""women:sackmann:252487""}"
men:api:104370,,I. Pedersen Lozano,men,missing_mapping_entry,,no_sackmann_candidate,1,Iker Urribarrens Ramirez,M25 Bakio,Itf Men Singles,1,men:sackmann:214533,Ian Pedersen Lozano,4,0.975,0.975,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2026-04-20,20260420,M15 Sanxenxo,safe_override,"{""men:api:104370"": ""men:sackmann:214533""}"
women:api:76640,,J. Marcos Cattoni,women,missing_mapping_entry,,no_sackmann_candidate,1,Julia Konishi Camargo Silva,W15 Asuncion,Itf Women Singles,1,women:sackmann:269869,Julieta Marcos Cattoni,12,0.975,0.975,exact_initial_form_raw,source_manifest:3;source_sackmann_jsonl:3;canonical_jsonl:3;raw_sackmann_csv:3,2024-10-28,20241104,W15 Asuncion,safe_override,"{""women:api:76640"": ""women:sackmann:269869""}"
men:api:85494,,J. Soetebier,men,missing_mapping_entry,,no_sackmann_candidate,1,Michael Agwi,M15 Kamen,Itf Men Singles,1,men:sackmann:213948,Jannik Soetebier,4,0.975,0.975,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2025-06-23,20250623,M15 Kamen,safe_override,"{""men:api:85494"": ""men:sackmann:213948""}"
men:api:53618,,J. Torres Espinosa,men,missing_mapping_entry,,no_sackmann_candidate,1,Alejandro Arcila,M25 Bakio,Itf Men Singles,1,men:sackmann:212234,Joan Torres Espinosa,20,0.975,0.975,exact_initial_form_raw,source_manifest:5;source_sackmann_jsonl:5;canonical_jsonl:5;raw_sackmann_csv:5,2023-06-12,20251013,Lincoln CH,safe_override,"{""men:api:53618"": ""men:sackmann:212234""}"
women:api:104151,,J. Zhou,women,unmapped,,no_sackmann_candidate,1,Ma RuoXi,W15 Maanshan 3,Itf Women Singles,,,,,,,,,,,,no_candidate,
women:api:472,,Jessika Ponchet,women,missing_mapping_entry,,no_sackmann_candidate,1,Polina Kudermetova,Wimbledon,Wta Singles,1,women:sackmann:211316,Jessika Ponchet,872,1.0,1.0,exact_normalized_raw,source_manifest:218;source_sackmann_jsonl:218;canonical_jsonl:218;raw_sackmann_csv:218,2023-01-16,20260504,Saint Malo 125,safe_override,"{""women:api:472"": ""women:sackmann:211316""}"
women:api:54718,,Joy De Zeeuw,women,missing_mapping_entry,,no_sackmann_candidate,1,Louise Van den Broek Isis,W15 Alkmaar,Itf Women Singles,1,women:sackmann:260226,Joy De Zeeuw,276,1.0,1.0,exact_normalized_raw,source_manifest:69;source_sackmann_jsonl:69;canonical_jsonl:69;raw_sackmann_csv:69,2023-04-10,20250929,W15 Sharm ElSheikh,safe_override,"{""women:api:54718"": ""women:sackmann:260226""}"
women:api:21,,Judith Visscher Stephanie,women,missing_mapping_entry,,no_sackmann_candidate,1,Elena Micic,W50 Palma del Rio,Itf Women Singles,1,women:sackmann:220613,Stephanie Judith Visscher,912,0.995,0.995,exact_token_set_raw,source_manifest:228;source_sackmann_jsonl:228;canonical_jsonl:228;raw_sackmann_csv:228,2023-02-13,20260518,W15 Sharm ElSheikh,safe_override,"{""women:api:21"": ""women:sackmann:220613""}"
women:api:62135,,Julia Caffarena,women,missing_mapping_entry,,no_sackmann_candidate,1,Ana Candiotto,W15 Asuncion,Itf Women Singles,1,women:sackmann:236958,Julia Caffarena,84,1.0,1.0,exact_normalized_raw,source_manifest:21;source_sackmann_jsonl:21;canonical_jsonl:21;raw_sackmann_csv:21,2023-06-19,20241125,W15 Lujan,safe_override,"{""women:api:62135"": ""women:sackmann:236958""}"
women:api:76626,,Julia Khramtsova,women,missing_mapping_entry,,no_sackmann_candidate,1,Esina Samardzic Ayline,W15 Kayseri 6,Itf Women Singles,1,women:sackmann:263706,Julia Khramtsova,132,1.0,1.0,exact_normalized_raw,source_manifest:33;source_sackmann_jsonl:33;canonical_jsonl:33;raw_sackmann_csv:33,2023-02-27,20260504,W15 Kursumlijska Banja,safe_override,"{""women:api:76626"": ""women:sackmann:263706""}"
