api_player_key,api_raw_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
women:api:19429,19429,S. Rutlauka,women,missing_mapping_entry,1,V. Turini,W35+H Tauste,Itf Women Singles,,,,,,
men:api:32344,32344,Schnaitter/ Wallner,men,missing_mapping_entry,1,Etcheverry/ Kecmanovic,Halle,Atp Doubles,,,,,,
women:api:31800,31800,Sri Lanka W,women,missing_mapping_entry,1,Uzbekistan W,Billie Jean King Cup - Group II,Teams Women,,,,,,
men:api:851,851,T. Compagnucci,men,ambiguous,1,J. C. Martin Manzano,Parma,Challenger Men Singles,men:sackmann:206867,Tommaso Compagnucci,0.975209,,exact_initial_form,"{""men:api:851"": ""men:sackmann:206867""}"
women:api:40904,40904,T. Lemaitre,women,missing_mapping_entry,1,Z. Kardava,W35+H Tauste,Itf Women Singles,,,,,,
women:api:37886,37886,T. Rakotomanga Rajaonah,women,ambiguous,1,Y. Lizarazo,Brescia (Italy) - Qualification,Challenger Women Singles,women:sackmann:266531,Tiantsoa Sarah Rakotomanga Rajaonah,0.945964,,initial_surname,"{""women:api:37886"": ""women:sackmann:266531""}"
women:api:72548,72548,Trinidad & Tobago W,women,missing_mapping_entry,1,Jamaica W,Billie Jean King Cup - Group III Teams,Teams Women,,,,,,
women:api:13788,13788,Uzbekistan W,women,missing_mapping_entry,1,Sri Lanka W,Billie Jean King Cup - Group II,Teams Women,,,,,,
men:api:9229,9229,V. C. Loureiro J.,men,unmapped,1,M. Zeitune,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
women:api:2822,2822,V. Zvonareva,women,missing_mapping_entry,1,S. Bandecchi,Figueira Da Foz (Portugal) - Qualification,Challenger Women Singles,,,,,,
women:api:150,150,Y. Lizarazo,women,missing_mapping_entry,1,T. Rakotomanga Rajaonah,Brescia (Italy) - Qualification,Challenger Women Singles,,,,,,
women:api:11480,11480,Z. Kardava,women,missing_mapping_entry,1,T. Lemaitre,W35+H Tauste,Itf Women Singles,,,,,,
men:api:590,590,Z. Zhang,men,ambiguous,1,Dar. Blanch,Nottingham,Challenger Men Singles,men:sackmann:111190,Zhizhen Zhang,0.975069,,exact_initial_form,"{""men:api:590"": ""men:sackmann:111190""}"
women:api:92967,92967,da Silva Fick/ McGiffin,women,missing_mapping_entry,1,Daniel/ Thombare,Brescia (Italy),Challenger Women Doubles,,,,,,
