api_player_key,api_name,gender,mapping_status,api_matches_in_source,levels,surfaces,sample_tournaments
men:api:680,M. Jones,men,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Tokyo"": 2}"
men:api:1200,M. Sasikumar,men,unmapped,2,"{""qualifying"": 2}","{""hard"": 2}","{""Centurion (South Africa) - Qualification"": 1, ""Centurion 2 (South Africa) - Qualification"": 1}"
women:api:460,M. Uchijima,women,ambiguous,2,"{""grand_slam"": 1, ""itf"": 1}","{""clay"": 1, ""hard"": 1}","{""French Open"": 1, ""W35 Wichita, KS"": 1}"
women:api:102994,M. V. Pop,women,unmapped,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
men:api:102992,N. Raghuram,men,unmapped,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
women:api:89210,R. Yoshida,women,ambiguous,2,"{""grand_slam"": 1, ""itf"": 1}","{""clay"": 1, ""hard"": 1}","{""French Open"": 1, ""W15 Tokyo"": 1}"
women:api:67444,S. Llewellyn,women,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""W35 Decatur, IL"": 2}"
women:api:37886,T. Rakotomanga Rajaonah,women,ambiguous,2,"{""qualifying"": 2}","{""clay"": 2}","{""Modena (Italy) - Qualification"": 2}"
men:api:38273,W. K. Leong M.,men,unmapped,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Maanshan 5"": 2}"
men:api:1062,Wu Tung-Lin,men,unmapped,2,"{""challenger"": 2}","{""hard"": 2}","{""Little Rock"": 1, ""Tyler"": 1}"
men:api:56741,X. Yang,men,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Luan 3"": 1, ""M15 Maanshan 5"": 1}"
men:api:38292,Y. Jeong,men,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Gimcheon 2"": 2}"
women:api:62139,Y. Kim,women,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""W15 Fukui"": 2}"
women:api:84070,A. Adeikyte,women,ambiguous,1,"{""itf"": 1}","{""clay"": 1}","{""W15 Banja Luka"": 1}"
men:api:90116,A. Aiukhanov,men,ambiguous,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Tsaghkadzor"": 1}"
men:api:103493,A. Baybars,men,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Kayseri 4"": 1}"
men:api:102990,A. Dubreuil,men,unmapped,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
men:api:30842,A. Duda,men,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""M25 Ceska Lipa"": 1}"
women:api:71935,A. Ferlito Faticanti,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W15 Madrid 2"": 1}"
men:api:103757,A. G. Torres,men,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Brasilia"": 1}"
women:api:89986,A. Kostiushkina,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Kayseri 3"": 1}"
women:api:2576,A. Kucmova,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W75 Ceska Lipa"": 1}"
women:api:93192,A. Kyselova,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W15 Casablanca"": 1}"
women:api:95215,A. Malova,women,unmapped,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
women:api:38983,A. Melnikova,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Kayseri 4"": 1}"
men:api:1926,A. Popyrin,men,ambiguous,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
women:api:57751,A. Roots,women,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Monastir 17"": 1}"
women:api:15341,A. Stevens,women,ambiguous,1,"{""itf"": 1}","{""clay"": 1}","{""W35 San Gregorio 3 (Italy)"": 1}"
women:api:6514,A. Walker,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W35 Decatur, IL"": 1}"
men:api:757,B. Atlangeriev,men,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Kayseri 2"": 1}"
women:api:55157,B. Black,women,ambiguous,1,"{""challenger"": 1}","{""grass"": 1}","{""Ilkley"": 1}"
men:api:83917,B. Geldof,men,unmapped,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
men:api:103005,B. Moxon,men,unmapped,1,"{""challenger"": 1}","{""grass"": 1}","{""Birmingham"": 1}"
women:api:4802,C. Werner,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W100 Zagreb (Croatia)"": 1}"
women:api:2566,C. Wong Hong Yi,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W50 Wuning"": 1}"
women:api:1362,C. Wu Ho,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Fukui"": 1}"
men:api:25278,D. C. Spiridon,men,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Kayseri 2"": 1}"
men:api:28671,D. Fornaci,men,unmapped,1,"{""challenger"": 1}","{""clay"": 1}","{""Perugia"": 1}"
men:api:3132,D. Kim,men,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Gimcheon 2"": 1}"
men:api:92862,D. N. Stoot,men,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Lakewood, CA 2"": 1}"
women:api:93255,D. Teodoro Souza,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Brasilia (Brazil)"": 1}"
men:api:103731,D. Yigin,men,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Kursumlijska Banja 4"": 1}"
men:api:66839,Dar. Blanch,men,ambiguous,1,"{""challenger"": 1}","{""grass"": 1}","{""Ilkley"": 1}"
men:api:84405,E. Betti,men,unmapped,1,"{""challenger"": 1}","{""clay"": 1}","{""Perugia"": 1}"
men:api:102989,E. Giurescu,men,unmapped,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
women:api:103004,E. Gomes,women,unmapped,1,"{""grand_slam"": 1}","{""clay"": 1}","{""French Open"": 1}"
women:api:87042,E. K. Malmkjaer,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W15 Merzig"": 1}"
men:api:68041,F. A. Vazquez,men,ambiguous,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Kursumlijska Banja 4"": 1}"
men:api:70265,F. F. Garbero,men,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Monastir 22"": 1}"
men:api:102953,G. L. Zajc,men,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Kranjska Gora (Slovenia)"": 1}"
men:api:103642,G. Pistoia,men,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""M15 Messina"": 1}"
men:api:3135,H. Chung,men,ambiguous,1,"{""itf"": 1}","{""hard"": 1}","{""M15 Tokyo"": 1}"
men:api:103671,H. Nelson,men,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""M25 Wichita, KS"": 1}"
women:api:103747,H. Shabanpour,women,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""W15 Kayseri 4"": 1}"
men:api:17461,I. Orgiles Garcia Retamero,men,unmapped,1,"{""itf"": 1}","{""hard"": 1}","{""M25 Martos"": 1}"
women:api:103751,J. A. Abendroth,women,unmapped,1,"{""itf"": 1}","{""clay"": 1}","{""W15 Merzig"": 1}"
men:api:38832,J. Aguilar Cardozo,men,ambiguous,1,"{""challenger"": 1}","{""clay"": 1}","{""San Miguel de Tucuman"": 1}"
